Date    MAXT(C)    MINT (C)    RH1(%)    RH2 (%)    WS (kmph)    RF (mm)    SS (hr)    EVP (mm)
2015-08-21    30.5    22.0    95.0    75.0    2.6    2.0    1.1    3.5
2015-09-07    33.0    24.0    86.0    56.0    1.1    0.0    6.9    5.6
2015-09-09    34.0    22.5    92.0    84.0    0.6    1.4    5.4    4.4
2015-09-11    29.0    21.5    100.0    72.0    0.3    26.2    3.0    1.4
2015-09-12    29.5    21.5    95.0    78.0    0.8    6.0    2.5    2.1
2015-09-13    29.0    22.0    92.0    72.0    1.9    0.0    1.1    3.4
2015-09-15    28.0    21.5    97.0    100.0    0.8    29.4    0.3    2.8
2015-09-16    24.0    22.5    95.0    78.0    0.5    28.2    0.2    2.4
2015-09-20    31.0    22.5    87.0    69.0    0.8    0.0    5.4    4.0
2015-09-19    31.0    22.0    95.0    66.0    1.3    23.8    5.4    3.0
2015-09-21    30.0    22.5    88.0    54.0    0.6    0.0    2.1    3.0
2015-09-22    30.5    22.0    87.0    53.0    0.6    0.0    6.3    4.4
2015-09-23    32.0    20.5    91.0    48.0    0.2    0.0    8.1    4.5
2015-09-28    32.5    19.0    91.0    49.0    0.2    0.0    7.8    5.3
2015-09-29    31.5    22.5    87.0    63.0    0.3    0.0    8.6    4.6
